ID;country;cont;capital;population
http://www.wikidata.org/entity/Q114;Kenya;Africa;Nairobi;44353691
http://www.wikidata.org/entity/Q115;Ethiopia;Africa;Addis Ababa;96958732
http://www.wikidata.org/entity/Q117;Ghana;Africa;Accra;28308301
http://www.wikidata.org/entity/Q142;France;Europe;Paris;66628000
http://www.wikidata.org/entity/Q145;United Kingdom;Europe;London;65102385
http://www.wikidata.org/entity/Q148;People's Republic of China;Asia;Beijing;1409517397
http://www.wikidata.org/entity/Q155;Brazil;South America;Brasília;200361925
http://www.wikidata.org/entity/Q159;Russia;Europe;Moscow;146804372
http://www.wikidata.org/entity/Q16;Canada;North America;Ottawa;35702707
http://www.wikidata.org/entity/Q17;Japan;Asia;Tokyo;127110047
http://www.wikidata.org/entity/Q183;Germany;Europe;Berlin;81292400
http://www.wikidata.org/entity/Q184;Belarus;Europe;Minsk;9494200
http://www.wikidata.org/entity/Q189;Iceland;Europe;Reykjavík;332529
http://www.wikidata.org/entity/Q191;Estonia;Europe;Tallinn;1315635
http://www.wikidata.org/entity/Q20;Norway;Europe;Oslo;5213985
http://www.wikidata.org/entity/Q211;Latvia;Europe;Riga;1953000
http://www.wikidata.org/entity/Q212;Ukraine;Europe;Kiev;42558328
http://www.wikidata.org/entity/Q213;Czech Republic;Europe;Prague;10610055
http://www.wikidata.org/entity/Q214;Slovakia;Europe;Bratislava;5426252
http://www.wikidata.org/entity/Q215;Slovenia;Europe;Ljubljana;2062874
http://www.wikidata.org/entity/Q217;Moldova;Europe;Chișinău;2550900
http://www.wikidata.org/entity/Q218;Romania;Europe;Bucharest;20147528
http://www.wikidata.org/entity/Q219;Bulgaria;Europe;Sofia;7265115
http://www.wikidata.org/entity/Q221;Republic of Macedonia;Europe;Skopje;2107158
http://www.wikidata.org/entity/Q222;Albania;Europe;Tirana;3020209
http://www.wikidata.org/entity/Q224;Croatia;Europe;Zagreb;4284889
http://www.wikidata.org/entity/Q225;Bosnia and Herzegovina;Europe;Sarajevo;3531159
http://www.wikidata.org/entity/Q227;Azerbaijan;Europe;Baku;9416801
http://www.wikidata.org/entity/Q228;Andorra;Europe;Andorra la Vella;79218
http://www.wikidata.org/entity/Q229;Cyprus;Asia;Nicosia;1141166
http://www.wikidata.org/entity/Q230;Georgia;Asia;Tbilisi;3729500
http://www.wikidata.org/entity/Q232;Kazakhstan;Europe;Astana;17948816
http://www.wikidata.org/entity/Q233;Malta;Europe;Valletta;423374
http://www.wikidata.org/entity/Q235;Monaco;Europe;Monaco-Ville;37831
http://www.wikidata.org/entity/Q236;Montenegro;Europe;Podgorica;620029
http://www.wikidata.org/entity/Q238;San Marino;Europe;San Marino;31595
http://www.wikidata.org/entity/Q241;Cuba;North America;Havana;11265629
http://www.wikidata.org/entity/Q242;Belize;North America;Belmopan;366954
http://www.wikidata.org/entity/Q244;Barbados;North America;Bridgetown;284644
http://www.wikidata.org/entity/Q252;Indonesia;Asia;Jakarta;249865631
http://www.wikidata.org/entity/Q27;Ireland;Europe;Dublin;4761865
http://www.wikidata.org/entity/Q28;Hungary;Europe;Budapest;9817958
http://www.wikidata.org/entity/Q29;Spain;Europe;Madrid;46528024
http://www.wikidata.org/entity/Q30;United States of America;North America;Washington, D.C.;323952889
http://www.wikidata.org/entity/Q31;Belgium;Europe;Brussels;11150516
http://www.wikidata.org/entity/Q32;Luxembourg;Europe;Luxembourg;543360
http://www.wikidata.org/entity/Q33;Finland;Europe;Helsinki;5501043
http://www.wikidata.org/entity/Q34;Sweden;Europe;Stockholm;9954420
http://www.wikidata.org/entity/Q35;Denmark;Europe;Copenhagen;5707251
http://www.wikidata.org/entity/Q36;Poland;Europe;Warsaw;38454576
http://www.wikidata.org/entity/Q37;Lithuania;Europe;Vilnius;2810118
http://www.wikidata.org/entity/Q38;Italy;Europe;Rome;60599936
http://www.wikidata.org/entity/Q39;Switzerland;Europe;Bern;8211700
http://www.wikidata.org/entity/Q40;Austria;Europe;Vienna;8572895
http://www.wikidata.org/entity/Q41;Greece;Europe;Athens;10815197
http://www.wikidata.org/entity/Q43;Turkey;Europe;Ankara;76223639
http://www.wikidata.org/entity/Q45;Portugal;Europe;Lisbon;10457295
http://www.wikidata.org/entity/Q55;Netherlands;Europe;Amsterdam;17000000
http://www.wikidata.org/entity/Q77;Uruguay;South America;Montevideo;3407062
http://www.wikidata.org/entity/Q79;Egypt;Africa;Cairo;94798827
http://www.wikidata.org/entity/Q96;Mexico;North America;Mexico City;130526945
http://www.wikidata.org/entity/Q219060;State of Palestine;Asia;Ramallah;4550368
http://www.wikidata.org/entity/Q756617;Kingdom of Denmark;Europe;Copenhagen;5707251
http://www.wikidata.org/entity/Q1000;Gabon;Africa;Libreville;1671711
http://www.wikidata.org/entity/Q1005;The Gambia;Africa;Banjul;1849285
http://www.wikidata.org/entity/Q1006;Guinea;Africa;Conakry;10628972
http://www.wikidata.org/entity/Q1007;Guinea-Bissau;Africa;Bissau;1704255
