ID,country,cont,capital,population
http://www.wikidata.org/entity/Q114,肯尼亚,非洲,奈洛比,44353691
http://www.wikidata.org/entity/Q115,埃塞俄比亚,非洲,亚的斯亚贝巴,96958732
http://www.wikidata.org/entity/Q117,迦納,非洲,阿克拉,28308301
http://www.wikidata.org/entity/Q142,法国,欧洲,巴黎,66628000
http://www.wikidata.org/entity/Q145,英国,欧洲,倫敦,65102385
http://www.wikidata.org/entity/Q148,中华人民共和国,亚洲,北京市,1409517397
http://www.wikidata.org/entity/Q155,巴西,南美洲,巴西利亚,200361925
http://www.wikidata.org/entity/Q159,俄罗斯,欧洲,莫斯科,146804372
http://www.wikidata.org/entity/Q16,加拿大,北美洲,渥太華,35702707
http://www.wikidata.org/entity/Q17,日本,亚洲,東京都,127110047
http://www.wikidata.org/entity/Q183,德国,欧洲,柏林,81292400
http://www.wikidata.org/entity/Q184,白罗斯,欧洲,明斯克,9494200
http://www.wikidata.org/entity/Q189,冰岛,欧洲,雷克雅未克,332529
http://www.wikidata.org/entity/Q191,爱沙尼亚,欧洲,塔林,1315635
http://www.wikidata.org/entity/Q20,挪威,欧洲,奥斯陆,5213985
http://www.wikidata.org/entity/Q211,拉脫維亞,欧洲,里加,1953000
http://www.wikidata.org/entity/Q212,乌克兰,欧洲,基輔,42558328
http://www.wikidata.org/entity/Q213,捷克,欧洲,布拉格,10610055
http://www.wikidata.org/entity/Q214,斯洛伐克,欧洲,布拉迪斯拉发,5426252
http://www.wikidata.org/entity/Q215,斯洛文尼亚,欧洲,卢布尔雅那,2062874
http://www.wikidata.org/entity/Q217,摩尔多瓦,欧洲,基希讷乌,2550900
http://www.wikidata.org/entity/Q218,羅馬尼亞,欧洲,布加勒斯特,20147528
http://www.wikidata.org/entity/Q219,保加利亚,欧洲,索菲亞,7265115
http://www.wikidata.org/entity/Q221,馬其頓共和國,欧洲,斯科普里,2107158
http://www.wikidata.org/entity/Q222,阿尔巴尼亚,欧洲,地拉那,3020209
http://www.wikidata.org/entity/Q224,克罗地亚,欧洲,萨格勒布,4284889
http://www.wikidata.org/entity/Q225,波斯尼亚和黑塞哥维那,欧洲,塞拉耶佛,3531159
http://www.wikidata.org/entity/Q227,阿塞拜疆,亚洲,巴库,9416801
http://www.wikidata.org/entity/Q228,安道尔,欧洲,安道尔城,79218
http://www.wikidata.org/entity/Q229,賽普勒斯,亚洲,尼科西亚,1141166
http://www.wikidata.org/entity/Q230,格鲁吉亚,亚洲,第比利斯,3729500
http://www.wikidata.org/entity/Q232,哈萨克斯坦,亚洲,阿斯塔納,17948816
http://www.wikidata.org/entity/Q233,马耳他,欧洲,瓦莱塔,423374
http://www.wikidata.org/entity/Q235,摩纳哥,欧洲,摩纳哥城,37831
http://www.wikidata.org/entity/Q236,蒙特內哥羅,欧洲,波德戈里察,620029
http://www.wikidata.org/entity/Q238,圣马力诺,欧洲,聖馬力諾,31595
http://www.wikidata.org/entity/Q241,古巴,北美洲,哈瓦那,11265629
http://www.wikidata.org/entity/Q242,伯利兹,北美洲,貝爾墨邦,366954
